STUFF LIST - 1  
24AA025E48T-I/SN-24AA025E48T-IB 24AA025E48T-I/SN         U18             

----------------

7X2RECPT_SMD_2MM-878321420,7X2B 878321420                J10             

----------------

ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC3             
ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC4             

----------------

ATMGA128_TQFP-ATMEGA128A-AU,ATB ATMEGA128A-AU            U4              

----------------

CAP_NP-GRM31CD80J107ME39K,CAP_B GRM31CD80J107ME39K       C95             

----------------

CAP_NP-GRT155R61E105ME01D,CAP_B GRT155R61E105ME01D       C89             
CAP_NP-GRT155R61E105ME01D,CAP_B GRT155R61E105ME01D       C110            
CAP_NP-GRT155R61E105ME01D,CAP_B GRT155R61E105ME01D       C144            

----------------

CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C1              
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C2              
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C3              
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C4              
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C10             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C11             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C26             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C28             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C30             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C31             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C33             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C34             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C35             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C36             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C39             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C40             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C43             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C45             
CAP_NP_0-445-7348-2-ND,CAP_NP_A 445-7348-2-ND            C91             

----------------

CON10P-HTST-105-01-L-DV HTST-105-01-L-DV         J13             

----------------

CON20P_SFP-1367073-1-1367073-1B 1367073-1                J3              
CON20P_SFP-1367073-1-1367073-1B 1367073-1                J6              
CON20P_SFP-1367073-1-1367073-1B 1367073-1                J11             

----------------

CON4P-53398-0471 53398-0471               J16             

----------------

CONN30P-FTSH-115-01-L-DV,CONN3B FTSH-115-01-L-DV         J4              

----------------

DIODE-1N4148W-13-F,DIODE-1N414A 1N4148W-13-F             D12             

----------------

ELCAPTAN_SMD-220UF,25V 597D227X0025M2T          C25             
ELCAPTAN_SMD-220UF,25V 597D227X0025M2T          C51             
ELCAPTAN_SMD-220UF,25V 597D227X0025M2T          C52             
ELCAPTAN_SMD-220UF,25V 597D227X0025M2T          C58             

----------------

FERRITE_SMD-BLM21PG221SN1,MURAA BLM21PG221SN1            L9              

----------------

FERRITE_SMD-MPZ1608S101A,TDK MPZ1608S101A             L12             

----------------

HDR1X3-HDR1X3,HDR1X3-HDR1X3,HDA HDR1x3                   J12             

----------------

HDT0001-HDT0001,HDT0001-HDT000A HDT0001                  SW1             

----------------

IND-74438323100,IND-7443832310A 74438323100              L4              

----------------

IND-BLM18AG121SN1D,IND-BLM18AGA BLM18AG121SN1D           L1              
IND-BLM18AG121SN1D,IND-BLM18AGA BLM18AG121SN1D           L2              
IND-BLM18AG121SN1D,IND-BLM18AGA BLM18AG121SN1D           L3              
IND-BLM18AG121SN1D,IND-BLM18AGA BLM18AG121SN1D           L10             

----------------

IND-CIGT201208EH1R0MNE,IND-CIGA CIGT201208EH1R0MNE       L5              
IND-CIGT201208EH1R0MNE,IND-CIGA CIGT201208EH1R0MNE       L6              
IND-CIGT201208EH1R0MNE,IND-CIGA CIGT201208EH1R0MNE       L7              
IND-CIGT201208EH1R0MNE,IND-CIGA CIGT201208EH1R0MNE       L8              
IND-CIGT201208EH1R0MNE,IND-CIGA CIGT201208EH1R0MNE       L11             
IND-CIGT201208EH1R0MNE,IND-CIGA CIGT201208EH1R0MNE       L13             

----------------

INV_1CH_OD-SN74LVC1G06DBVTE4,IB SN74LVC1G06DBVTE4        U15             

----------------

LED GREEN 0603_0-LNJ326W83RA,LB LNJ326W83RA              D1              
LED GREEN 0603_0-LNJ326W83RA,LB LNJ326W83RA              D5              
LED GREEN 0603_0-LNJ326W83RA,LB LNJ326W83RA              D6              

----------------

LED RED 0603_0-LNJ237W82RA,LEDB LNJ237W82RA              D2              
LED RED 0603_0-LNJ237W82RA,LEDB LNJ237W82RA              D4              

----------------

LED_0-LTST-C193TBKT-5A,LED_0-LA LTST-C193TBKT-5A         D3              

----------------

LM75A-LM75AIMME/NOPB,LM75A-LM7A LM75AIMME/NOPB           U25             

----------------

LP_515XXX-5151230F,LP_515XXX-5A 5151230F                 U1              

----------------

LSHM-130-0XXX-L-DV-A-S-LSHM-13B LSHM-130-03.0-L-DV-A-S-K-TR J2              

----------------

LSHM-150-0XXX-L-DV-A-S-LSHM-15B LSHM-150-03.0-L-DV-A-S-K-TR J9              

----------------

LTC2991CMS#PBF-VCC=VCC3V3 LTC2991CMS#PBF           IC6             

----------------

MAX9381ESA_SMD-MAX9381ESA MAX9381ESA               U2              
MAX9381ESA_SMD-MAX9381ESA MAX9381ESA               U3              
MAX9381ESA_SMD-MAX9381ESA MAX9381ESA               U8              

----------------

MCH_CONNECTOR1-MCH1B-EDGE-170,B MCH1B-EDGE-170           J7              

----------------

MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH1             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH2             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH3             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH4             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH5             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH6             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH7             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH8             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH9             
MT_HOLE-MT_HOLE,MT_HOLE-MOUNTHA Mt_Hole                  MH10            

----------------

PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         J14             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         J15             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         J17             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         J18             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         J19             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         TE1             

----------------

PTH08T210WAD     PTH08T210WAD             POWER1          
PTH08T210WAD     PTH08T210WAD             PWR1            

----------------

R-311-24.9LRCT-ND,R-311-24.9LRA 311-24.9LRCT-ND          R16             
R-311-24.9LRCT-ND,R-311-24.9LRA 311-24.9LRCT-ND          R31             
R-311-24.9LRCT-ND,R-311-24.9LRA 311-24.9LRCT-ND          R48             
R-311-24.9LRCT-ND,R-311-24.9LRA 311-24.9LRCT-ND          R50             
R-311-24.9LRCT-ND,R-311-24.9LRA 311-24.9LRCT-ND          R51             
R-311-24.9LRCT-ND,R-311-24.9LRA 311-24.9LRCT-ND          R53             

----------------

R-311-49.9LRCT-ND,R-311-49.9LRA 311-49.9LRCT-ND          R20             
R-311-49.9LRCT-ND,R-311-49.9LRA 311-49.9LRCT-ND          R23             

----------------

R-CRCW060310M0FKEAC,R-CRCW0603A CRCW060310M0FKEAC        R137            
R-CRCW060310M0FKEAC,R-CRCW0603A CRCW060310M0FKEAC        R138            

----------------

R-EMA-00003608,R-EMA-00003608,A EMA-00003608             R3              
R-EMA-00003608,R-EMA-00003608,A EMA-00003608             R5              
R-EMA-00003608,R-EMA-00003608,A EMA-00003608             R63             
R-EMA-00003608,R-EMA-00003608,A EMA-00003608             R135            

----------------

R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R19             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R26             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R28             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R29             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R35             
